ligando_rdkt3d11,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
lig_5280343,0,0,0,0,0,0,0,0,0,0,0
lig_5280443,0,0,0,0,0,0,0,0,0,0,0
lig_5280445,0,0,0,0,0,0,0,0,0,0,0
lig_5280459,0,0,0,0,0,0,0,0,0,0,0
lig_5280804,0,0,0,0,0,0,0,0,0,0,0
lig_5280805,0,0,0,0,0,0,0,0,0,0,0
lig_5281515,0.8761141538771338,580.7548632007637,1052.6635534311824,1428.8837057829658,0.40643955897204065,0.7367034484128075,2.7372487151288354,0.0012685273858105144,0.9136776701346121,0.23109346822012874,0.3331338750879966
lig_5281516,0,0,0,0,0,0,0,0,0,0,0
lig_5281517,0,0,0,0,0,0,0,0,0,0,0
lig_5281520,0.7817105637272547,690.2754449118672,932.0238384490231,1424.1618088949197,0.4846889170883521,0.6544367589608573,2.7301597574246284,0.0009480806014248621,0.8746866031052039,0.18085077642513364,0.284607952596494
lig_5281553,0,0,0,0,0,0,0,0,0,0,0
lig_5281672,0,0,0,0,0,0,0,0,0,0,0
lig_5282102,0,0,0,0,0,0,0,0,0,0,0
lig_5282159,0,0,0,0,0,0,0,0,0,0,0
lig_5282754,0,0,0,0,0,0,0,0,0,0,0
lig_5284507,0.9296430897243937,485.0556253526709,2882.424119958288,2996.7473934905747,0.16186069817105406,0.9618508807980894,3.7828383804329024,0.0019829702626348337,0.9868136168434134,0.5959521867049464,0.2362638187040162
lig_5317284,0,0,0,0,0,0,0,0,0,0,0
lig_5317570,0,0,0,0,0,0,0,0,0,0,0
lig_5318393,0,0,0,0,0,0,0,0,0,0,0
lig_5318767,0,0,0,0,0,0,0,0,0,0,0
lig_5319484,0,0,0,0,0,0,0,0,0,0,0
lig_5320250,0,0,0,0,0,0,0,0,0,0,0
lig_5352847,0.8408581089160734,858.0721852915572,1052.9302684397767,1668.6423444242573,0.5142337350833701,0.631010157424164,2.837036468020705,0.0007353812047989393,0.8576500834852209,0.16764585806378351,0.27787377780136885
lig_5355853,0.9154342082578887,469.3707397969032,2121.968582398488,2312.264200113035,0.20299182929613235,0.9177016113879874,3.414329946414645,0.00195517430802158,0.9791804314011845,0.512660795037584,0.2358145430909464
lig_5356057,0,0,0,0,0,0,0,0,0,0,0
lig_6429022,0.7535217204234761,676.7294723581347,905.7446274411813,1395.6564132186852,0.48488257277982216,0.6489739300178748,2.712782150989076,0.0009589857639219661,0.8745792649122323,0.18249940174829027,0.2817959361910774
lig_6432176,1.240859087212264,547.533160325415,928.0511408149816,970.2688642848209,0.564310760120081,0.9564886342086658,2.446275880926392,0.0017469053995564333,0.8255624543380692,0.10874991466163692,0.6970079548021811
lig_6432225,0.8178944016100161,657.9107878888426,932.4964979502108,1391.805273341137,0.47270318663865707,0.6699906343303904,2.7421194693963824,0.0010183609186289687,0.881221707257407,0.18551851770609437,0.2940783953558984
lig_6432404,0.7431781319593925,685.1393330552773,941.6366096516606,1484.2823921885267,0.46159634895692686,0.6344052955201117,2.7589531146215167,0.0009259507736785089,0.887090080335495,0.20640924550758805,0.24323387562658808
lig_6432468,0.7599888007650749,260.8490772748439,691.0223995454153,803.5528088513544,0.3246197068836296,0.8599589123871066,2.369952473469123,0.003296768082798353,0.9458446203805286,0.31947896582845203,0.34478030223907846
lig_6432640,1.004833206591211,730.0144008140663,882.2733870595375,1303.4336349917119,0.5600702492372834,0.6768840111028342,2.5721457605691165,0.0009272200799710466,0.8284451194371822,0.12453629172955183,0.47075951545585826
lig_6436582,0,0,0,0,0,0,0,0,0,0,0
lig_6451618,0.849056032453045,187.37645162646103,574.6441601218313,601.0250847984224,0.31176144950639645,0.9561067826554377,2.2366142131093354,0.005102598402073794,0.950160406774388,0.3463895112179294,0.43843224117469587
lig_6508206,0.7817105637272547,690.2754449118672,932.0238384490231,1424.1618088949197,0.4846889170883521,0.6544367589608573,2.7301597574246284,0.0009480806014248621,0.8746866031052039,0.18085077642513364,0.284607952596494
lig_6918391,0.8967941381316492,613.8956747091776,1065.8145052480943,1426.4652453500914,0.43036146636612355,0.7471717300665925,2.7567871300278783,0.0012170988668727017,0.902656639186352,0.20616403639041359,0.36091120855437936
lig_10104370,0.8084115862990299,297.91643954371364,2516.994288597262,2626.878815141793,0.11341080442176119,0.9581691679451914,3.648892878006802,0.0032162346240869263,0.9935481817407795,0.6997211471205522,0.18795652217946993
lig_10398656,0.9218179482741934,867.0654941516642,910.3871581859818,1501.5329046250176,0.5774535419643029,0.6063051667944204,2.7152805142068552,0.0006992610949045188,0.8164235462508913,0.14023376951678249,0.37958596413135887
lig_11043779,0,0,0,0,0,0,0,0,0,0,0
lig_11095734,0.8756760573117682,623.1913428085571,840.7586204040183,1266.4162157514415,0.4920904636701765,0.6638880724573992,2.584643746685182,0.001065303746784146,0.8705440687092588,0.17230497833222289,0.35650130232612715
lig_11106485,0.866242056923844,511.40981733644986,804.9409477723875,1082.151527088299,0.4725861439316908,0.7438338602526481,2.422480622642023,0.001454477084790278,0.8812844810637341,0.16991767616916167,0.41819659521775704
lig_11745938,0.4469615590769639,666.094235709658,989.7372102244052,1607.3301406744847,0.4144103434967907,0.6157647300815757,2.772282463935338,0.0009244408629741988,0.9100901423501258,0.25771262714281795,0.10754043943216778
lig_11770062,0.8259274403883167,839.2573059849437,892.013433313716,1471.9539581758734,0.5701654602192842,0.6060063416787494,2.6837289637632855,0.0007220745501494879,0.8215298825806229,0.14412720165656967,0.3197799113351349
lig_12304273,0,0,0,0,0,0,0,0,0,0,0
lig_12306047,0.854989122676098,678.0650714315005,966.6355063417056,1446.4319192683256,0.4687846433688343,0.6682896674671533,2.750103592178697,0.000985583383695447,0.8833124917839411,0.18919008609165755,0.30235852099048915
lig_12309449,0.8799650840374841,589.2187578824446,1036.4143179761384,1383.3082801251767,0.4259489850152026,0.7492287387178456,2.7132955630090585,0.001271562944483388,0.9047471813520719,0.2100565536058977,0.3176517288614607
lig_12315151,0.7618513172054514,229.5381221073223,661.14353783483,727.0974399189957,0.31569100577894293,0.9092915220668174,2.289959506747002,0.003961396537180309,0.9488620494414768,0.334859302922035,0.3493016367041512
lig_13894537,0.8065311329279589,675.1686011897189,1017.0669746903881,1483.5947571980876,0.45508963813328657,0.6855423084745983,2.7875257578098447,0.0010153646174697695,0.8904456307174033,0.19593604645638926,0.301171577458696
lig_14753671,0,0,0,0,0,0,0,0,0,0,0
lig_15715157,0,0,0,0,0,0,0,0,0,0,0
lig_16213286,0,0,0,0,0,0,0,0,0,0,0
lig_24798693,0.7817105637272547,690.2754449118672,932.0238384490231,1424.1618088949197,0.4846889170883521,0.6544367589608573,2.7301597574246284,0.0009480806014248621,0.8746866031052039,0.18085077642513364,0.284607952596494
lig_42608158,0.9671143665566597,622.4933873013123,796.7198369829459,1162.161825418118,0.5356340000906105,0.6855498258138923,2.5131348749220073,0.0011012965596083643,0.8444502459866607,0.1366083651642387,0.4507771415242625
lig_44258141,0,0,0,0,0,0,0,0,0,0,0
lig_44258359,0,0,0,0,0,0,0,0,0,0,0
lig_101629835,0.9296783369125098,215.78781685177205,553.2868650423371,570.203102511338,0.37844027137239455,0.970332961370261,2.200804584156719,0.004496699468611787,0.9256257132359648,0.26738768219748327,0.5174571717928502
